sample_id	population_description
HG00096	British in England and Scotland
HG00097	British in England and Scotland
HG00098	British in England and Scotland
HG00099	British in England and Scotland
HG00100	British in England and Scotland
HG00101	British in England and Scotland
HG00102	British in England and Scotland
HG00103	British in England and Scotland
HG00104	British in England and Scotland
HG00105	British in England and Scotland
HG00106	British in England and Scotland
HG00107	British in England and Scotland
HG00108	British in England and Scotland
HG00109	British in England and Scotland
HG00110	British in England and Scotland
HG00111	British in England and Scotland
HG00112	British in England and Scotland
HG00113	British in England and Scotland
HG00114	British in England and Scotland
HG00115	British in England and Scotland
HG00116	British in England and Scotland
HG00117	British in England and Scotland
HG00118	British in England and Scotland
HG00119	British in England and Scotland
HG00120	British in England and Scotland
HG00121	British in England and Scotland
HG00122	British in England and Scotland
HG00123	British in England and Scotland
HG00124	British in England and Scotland
HG00125	British in England and Scotland
HG00126	British in England and Scotland
HG00127	British in England and Scotland
HG00128	British in England and Scotland
HG00129	British in England and Scotland
HG00130	British in England and Scotland
HG00131	British in England and Scotland
HG00132	British in England and Scotland
HG00133	British in England and Scotland
HG00134	British in England and Scotland
HG00135	British in England and Scotland
HG00136	British in England and Scotland
HG00137	British in England and Scotland
HG00138	British in England and Scotland
HG00139	British in England and Scotland
HG00140	British in England and Scotland
HG00141	British in England and Scotland
HG00142	British in England and Scotland
HG00143	British in England and Scotland
HG00144	British in England and Scotland
HG00145	British in England and Scotland
HG00146	British in England and Scotland
HG00147	British in England and Scotland
HG00148	British in England and Scotland
HG00149	British in England and Scotland
HG00150	British in England and Scotland
HG00151	British in England and Scotland
HG00152	British in England and Scotland
HG00153	British in England and Scotland
HG00154	British in England and Scotland
HG00155	British in England and Scotland
HG00156	British in England and Scotland
HG00157	British in England and Scotland
HG00158	British in England and Scotland
HG00159	British in England and Scotland
HG00160	British in England and Scotland
HG00171	Finnish in Finland
HG00173	Finnish in Finland
HG00174	Finnish in Finland
HG00176	Finnish in Finland
HG00177	Finnish in Finland
HG00178	Finnish in Finland
HG00179	Finnish in Finland
HG00180	Finnish in Finland
HG00181	Finnish in Finland
HG00182	Finnish in Finland
HG00183	Finnish in Finland
HG00185	Finnish in Finland
HG00186	Finnish in Finland
HG00187	Finnish in Finland
HG00188	Finnish in Finland
HG00189	Finnish in Finland
HG00190	Finnish in Finland
HG00231	British in England and Scotland
HG00232	British in England and Scotland
HG00233	British in England and Scotland
HG00234	British in England and Scotland
HG00235	British in England and Scotland
HG00236	British in England and Scotland
HG00237	British in England and Scotland
HG00238	British in England and Scotland
HG00239	British in England and Scotland
HG00240	British in England and Scotland
HG00242	British in England and Scotland
HG00243	British in England and Scotland
HG00244	British in England and Scotland
HG00245	British in England and Scotland
HG00246	British in England and Scotland
HG00247	British in England and Scotland
HG00248	British in England and Scotland
HG00249	British in England and Scotland
HG00250	British in England and Scotland
HG00251	British in England and Scotland
HG00252	British in England and Scotland
HG00253	British in England and Scotland
HG00254	British in England and Scotland
HG00255	British in England and Scotland
HG00256	British in England and Scotland
HG00257	British in England and Scotland
HG00258	British in England and Scotland
HG00259	British in England and Scotland
HG00260	British in England and Scotland
HG00261	British in England and Scotland
HG00262	British in England and Scotland
HG00263	British in England and Scotland
HG00264	British in England and Scotland
HG00265	British in England and Scotland
HG00266	Finnish in Finland
HG00267	Finnish in Finland
HG00268	Finnish in Finland
HG00269	Finnish in Finland
HG00270	Finnish in Finland
HG00271	Finnish in Finland
HG00272	Finnish in Finland
HG00273	Finnish in Finland
HG00274	Finnish in Finland
HG00275	Finnish in Finland
HG00276	Finnish in Finland
HG00277	Finnish in Finland
HG00278	Finnish in Finland
HG00280	Finnish in Finland
HG00281	Finnish in Finland
HG00282	Finnish in Finland
HG00284	Finnish in Finland
HG00285	Finnish in Finland
HG00288	Finnish in Finland
HG00290	Finnish in Finland
HG00302	Finnish in Finland
HG00303	Finnish in Finland
HG00304	Finnish in Finland
HG00306	Finnish in Finland
HG00308	Finnish in Finland
HG00309	Finnish in Finland
HG00310	Finnish in Finland
HG00311	Finnish in Finland
HG00312	Finnish in Finland
HG00313	Finnish in Finland
HG00315	Finnish in Finland
HG00318	Finnish in Finland
HG00319	Finnish in Finland
HG00320	Finnish in Finland
HG00321	Finnish in Finland
HG00323	Finnish in Finland
HG00324	Finnish in Finland
HG00325	Finnish in Finland
HG00326	Finnish in Finland
HG00327	Finnish in Finland
HG00328	Finnish in Finland
HG00329	Finnish in Finland
HG00330	Finnish in Finland
HG00331	Finnish in Finland
HG00332	Finnish in Finland
HG00334	Finnish in Finland
HG00335	Finnish in Finland
HG00336	Finnish in Finland
HG00337	Finnish in Finland
HG00338	Finnish in Finland
HG00339	Finnish in Finland
HG00341	Finnish in Finland
HG00342	Finnish in Finland
HG00343	Finnish in Finland
HG00344	Finnish in Finland
HG00345	Finnish in Finland
HG00346	Finnish in Finland
HG00349	Finnish in Finland
HG00350	Finnish in Finland
HG00351	Finnish in Finland
HG00353	Finnish in Finland
HG00355	Finnish in Finland
HG00356	Finnish in Finland
HG00357	Finnish in Finland
HG00358	Finnish in Finland
HG00359	Finnish in Finland
HG00360	Finnish in Finland
HG00361	Finnish in Finland
HG00362	Finnish in Finland
HG00364	Finnish in Finland
HG00365	Finnish in Finland
HG00366	Finnish in Finland
HG00367	Finnish in Finland
HG00368	Finnish in Finland
HG00369	Finnish in Finland
HG00371	Finnish in Finland
HG00372	Finnish in Finland
HG00373	Finnish in Finland
HG00375	Finnish in Finland
HG00376	Finnish in Finland
HG00377	Finnish in Finland
HG00378	Finnish in Finland
HG00379	Finnish in Finland
HG00380	Finnish in Finland
HG00381	Finnish in Finland
HG00382	Finnish in Finland
HG00383	Finnish in Finland
HG00384	Finnish in Finland
HG00403	"Southern Han Chinese, China"
HG00404	"Southern Han Chinese, China"
HG00405	"Southern Han Chinese, China"
HG00406	"Southern Han Chinese, China"
HG00407	"Southern Han Chinese, China"
HG00408	"Southern Han Chinese, China"
HG00409	"Southern Han Chinese, China"
HG00410	"Southern Han Chinese, China"
HG00411	"Southern Han Chinese, China"
HG00418	"Southern Han Chinese, China"
HG00419	"Southern Han Chinese, China"
HG00420	"Southern Han Chinese, China"
HG00421	"Southern Han Chinese, China"
HG00422	"Southern Han Chinese, China"
HG00423	"Southern Han Chinese, China"
HG00427	"Southern Han Chinese, China"
HG00428	"Southern Han Chinese, China"
HG00429	"Southern Han Chinese, China"
HG00436	"Southern Han Chinese, China"
HG00437	"Southern Han Chinese, China"
HG00438	"Southern Han Chinese, China"
HG00442	"Southern Han Chinese, China"
HG00443	"Southern Han Chinese, China"
HG00444	"Southern Han Chinese, China"
HG00445	"Southern Han Chinese, China"
HG00446	"Southern Han Chinese, China"
HG00447	"Southern Han Chinese, China"
HG00448	"Southern Han Chinese, China"
HG00449	"Southern Han Chinese, China"
HG00450	"Southern Han Chinese, China"
HG00451	"Southern Han Chinese, China"
HG00452	"Southern Han Chinese, China"
HG00453	"Southern Han Chinese, China"
HG00457	"Southern Han Chinese, China"
HG00458	"Southern Han Chinese, China"
HG00459	"Southern Han Chinese, China"
HG00463	"Southern Han Chinese, China"
HG00464	"Southern Han Chinese, China"
HG00465	"Southern Han Chinese, China"
HG00472	"Southern Han Chinese, China"
HG00473	"Southern Han Chinese, China"
HG00474	"Southern Han Chinese, China"
HG00475	"Southern Han Chinese, China"
HG00476	"Southern Han Chinese, China"
HG00477	"Southern Han Chinese, China"
HG00478	"Southern Han Chinese, China"
HG00479	"Southern Han Chinese, China"
HG00480	"Southern Han Chinese, China"
HG00500	"Southern Han Chinese, China"
HG00501	"Southern Han Chinese, China"
HG00502	"Southern Han Chinese, China"
HG00512	"Southern Han Chinese, China"
HG00513	"Southern Han Chinese, China"
HG00514	"Southern Han Chinese, China"
HG00524	"Southern Han Chinese, China"
HG00525	"Southern Han Chinese, China"
HG00526	"Southern Han Chinese, China"
HG00530	"Southern Han Chinese, China"
HG00531	"Southern Han Chinese, China"
HG00532	"Southern Han Chinese, China"
HG00533	"Southern Han Chinese, China"
HG00534	"Southern Han Chinese, China"
HG00535	"Southern Han Chinese, China"
HG00536	"Southern Han Chinese, China"
HG00537	"Southern Han Chinese, China"
HG00538	"Southern Han Chinese, China"
HG00542	"Southern Han Chinese, China"
HG00543	"Southern Han Chinese, China"
HG00544	"Southern Han Chinese, China"
HG00551	Puerto Rican in Puerto Rico
HG00552	Puerto Rican in Puerto Rico
HG00553	Puerto Rican in Puerto Rico
HG00554	Puerto Rican in Puerto Rico
HG00555	Puerto Rican in Puerto Rico
HG00556	"Southern Han Chinese, China"
HG00557	"Southern Han Chinese, China"
HG00558	"Southern Han Chinese, China"
HG00559	"Southern Han Chinese, China"
HG00560	"Southern Han Chinese, China"
HG00561	"Southern Han Chinese, China"
HG00565	"Southern Han Chinese, China"
HG00566	"Southern Han Chinese, China"
HG00567	"Southern Han Chinese, China"
HG00577	"Southern Han Chinese, China"
HG00578	"Southern Han Chinese, China"
HG00579	"Southern Han Chinese, China"
HG00580	"Southern Han Chinese, China"
HG00581	"Southern Han Chinese, China"
HG00582	"Southern Han Chinese, China"
HG00583	"Southern Han Chinese, China"
HG00584	"Southern Han Chinese, China"
HG00585	"Southern Han Chinese, China"
HG00589	"Southern Han Chinese, China"
HG00590	"Southern Han Chinese, China"
HG00591	"Southern Han Chinese, China"
HG00592	"Southern Han Chinese, China"
HG00593	"Southern Han Chinese, China"
HG00594	"Southern Han Chinese, China"
HG00595	"Southern Han Chinese, China"
HG00596	"Southern Han Chinese, China"
HG00597	"Southern Han Chinese, China"
HG00598	"Southern Han Chinese, China"
HG00599	"Southern Han Chinese, China"
HG00600	"Southern Han Chinese, China"
HG00607	"Southern Han Chinese, China"
