node_A_num	node_B_num	combined_score
166	7	0.777
384	610	0.162
411	865	0.425
717	606	0.649
1033	130	0.417
1033	624	0.171
1075		0.602
161	867	0.3
545	1060	0.169
687	363	0.168
15	343	0.181
426	512	0.192
434	384	0.184
635	889	0.432
690	176	0.289
690	755	0.2
981		0.156
1172	862	0.229
99	355	0.401
262	956	0.153
348	94	0.167
348	91	0.28
409	924	0.158
583	782	0.816
589	421	0.257
855	207	0.16
882	1107	0.196
888	617	0.194
793	2	0.17
891		0.164
893	848	0.349
1052	364	0.259
1063	519	0.309
129	785	0.454
288	269	0.154
351	7	0.209
478	1077	0.201
1164	159	0.264
360	785	0.225
378	753	0.754
560	567	0.219
634	270	0.189
783	638	0.334
795	741	0.565
879	423	0.223
1006	908	0.194
70	630	0.941
151		0.167
647	365	0.159
868	721	0.449
1084	792	0.348
91	642	0.258
116	520	0.716
394	493	0.402
483	34	0.193
494	840	0.292
591		0.198
591	136	0.227
602	342	0.264
801	490	0.258
837	785	0.296
1085	252	0.21
1085	903	0.282
39	591	0.179
56	567	0.213
56	69	0.964
68	222	0.157
101	1062	0.376
119	1084	0.23
131	80	0.167
152	1159	0.236
273	1056	0.32
298	40	0.858
527	426	0.361
527	222	0.803
542	246	0.321
567	416	0.36
567		0.246
792	60	0.852
939	852	0.826
939	46	0.595
1011	457	0.154
0	574	0.249
135	431	0.169
158	282	0.272
200	325	0.336
265	75	0.208
355	165	0.206
355	64	0.274
546		0.831
546	289	0.232
547	295	0.271
614	280	0.803
1167	334	0.175
587	115	0.181
653	270	0.547
169	746	0.192
194	614	0.253
194	88	0.181
403	957	0.25
448	725	0.189
762	117	0.756
930	1128	0.202
1024	324	0.458
1031	708	0.15
1107	201	0.32
205	220	0.271
250	750	0.354
259	361	0.217
259	890	0.28
506	269	0.185
578	862	0.941
608	606	0.19
1073	973	0.196
1143	833	0.23
1143	791	0.781
46	1135	0.203
335	443	0.155
382	614	0.284
431	151	0.183
622	1036	0.23
622		0.261
656	126	0.327
943	364	0.701
1104	1068	0.208
1168	270	0.155
230	663	0.393
363	884	0.208
363	600	0.315
440	226	0.237
555	290	0.162
579	868	0.234
646	1031	0.277
727	670	0.199
735	9	0.172
866	1006	0.187
1134	610	0.313
1152	963	0.268
764	567	0.374
807		0.161
1008	675	0.598
1059	787	0.254
150	854	0.369
381	44	0.159
396	833	0.463
682	308	
720	1072	0.15
839	647	0.179
991	306	0.251
1077		0.285
27		0.429
275	650	0.323
514	581	0.165
521	922	0.499
606	541	0.228
617	357	0.27
641	512	0.219
709		0.274
878	191	0.994
878	556	0.181
944	1072	0.193
978	748	0.198
1048	972	0.371
143	1037	0.399
143	189	0.483
207	150	0.358
207	249	0.309
244	767	0.252
20	376	0.179
105	976	0.825
140	690	0.241
183	671	0.167
549	96	0.155
785	490	0.2
883	898	0.288
915	964	0.235
346	811	0.256
526	485	0.152
737		0.398
746	1073	0.229
120	539	0.473
993	1052	0.221
54	720	0.242
252	1125	0.23
422	193	0.226
428	398	0.366
824	844	0.484
1113	257	0.315
1123	69	0.184
141	690	0.163
272	1104	0.227
554	888	0.175
561	707	0.302
561	549	0.231
561	916	0.171
624	503	0.207
624	251	0.666
626	906	0.151
826	492	0.258
899	764	0.22
1120	904	0.286
400	902	0.263
725	943	0.355
956	1035	0.228
972	309	0.2
1010	576	0.229
1041	449	0.417
1133	1069	0.997
16	761	0.182
121	172	0.173
121	950	0.282
816		0.458
869	1110	0.74
957	645	0.31
26	427	0.186
162	574	0.157
277	91	0.249
534	255	0.78
698	421	0.159
845	161	0.167
845	815	0.492
976	1126	0.409
1148	304	0.174
77	379	0.217
575	667	0.779
615	127	0.217
650	1077	0.246
758	440	0.196
877	325	0.156
457	199	0.32
605	432	0.262
1151	3	0.21
271	573	0.168
439	824	0.171
600	342	0.157
600	90	0.19
660	1125	0.213
712	403	0.166
1000	844	0.231
1053	877	0.167
1082	554	0.235
4	327	0.359
29	1152	0.359
29	84	0.174
240		0.197
240	313	0.212
240	1069	0.376
240	230	0.464
255	31	0.44
495	396	0.978
609	339	0.194
630	574	0.202
630	612	0.311
775	813	0.163
775	1124	0.166
857	448	0.215
857	589	0.476
977	1129	0.201
1128	598	0.16
23	304	0.454
283	768	0.16
306	541	0.196
644	298	0.177
776	7	0.227
936	530	0.17
1033	981	0.731
30	140	0.261
246	863	0.204
515	468	0.513
686	690	0.271
744		0.228
1058	426	0.252
1058	246	0.322
1174	1030	0.152
426	978	0.238
635	286	0.29
676	650	0.327
721	918	0.285
721	620	0.565
975	749	0.428
155	882	0.243
888	797	0.266
397	1018	0.549
854	972	0.536
893	358	0.193
1052	1059	0.622
288	210	0.356
28	769	0.152
75	90	0.179
203		0.166
360	1136	0.216
454	457	0.293
592	1006	0.194
634	169	0.368
822	334	0.283
879	44	0.248
989	842	0.325
1129	983	0.226
1129	882	0.174
70	1131	0.162
170	1000	0.453
621	816	0.295
672	887	0.204
836	698	0.321
32	1176	0.271
91	621	0.24
106		0.151
393	733	0.319
399	104	0.179
483	736	0.422
625	4	0.18
689	630	0.931
689	4	0.285
801	582	0.154
837	376	0.189
1079	1021	0.197
119	1083	0.304
517	954	0.204
639	686	0.263
825	467	0.183
1042	1120	0.999
1126	1011	0.243
97	44	0.527
767	85	0.168
772		0.638
967	19	0.668
107	928	0.159
142	829	0.217
338		0.24
653	702	0.324
684	107	0.16
60	334	0.415
169	470	0.302
169	1106	0.2
169	845	0.33
194	1060	0.206
585	1110	0.539
987	941	0.311
998	853	0.202
1024	230	0.664
1031	422	0.184
1031	130	0.358
1150	1033	0.888
90	729	0.811
259	244	0.256
578	699	0.218
691	503	0.228
691	251	0.999
730	655	0.327
741	877	0.515
983	764	0.156
983	673	0.912
86	1050	0.485
359	14	0.772
804	359	0.35
805	684	0.157
895	437	0.241
943	526	0.383
960	88	0.155
1104	526	0.207
476	24	0.252
646	378	0.187
646	178	0.585
791	790	0.201
863	1135	0.325
863	1120	0.325
919	585	0.161
1127	188	0.19
1134		0.206
1152		0.217
1175	143	0.461
573	144	0.69
599	457	0.201
749	189	0.168
764	782	0.298
961	27	0.267
1132	899	0.165
136	553	0.195
381	792	0.368
994	710	0.221
994	171	0.265
1077	909	0.318
354	42	0.469
354	922	0.699
519	91	0.39
521	546	0.352
844	539	0.632
844	666	0.406
875	861	0.234
878	1156	0.383
944	1134	0.459
1025	835	0.278
1025	32	0.434
9	1144	0.298
104	752	0.242
104	555	0.152
319	934	0.238
408	580	0.182
408	1075	0.822
421	797	0.47
421	452	0.937
516	551	0.177
516		0.372
520	174	0.167
707	514	0.316
1039	844	0.15
1039	1029	0.248
1124	246	0.322
6	842	0.207
102	358	0.291
102	1120	0.284
140	741	0.283
165	1107	0.234
183	199	0.164
333	897	0.184
383	739	0.231
549	1131	0.734
598	163	0.16
865	447	0.374
865	967	0.477
1141	567	0.166
61	987	0.279
79	528	0.169
293	30	0.244
293	600	0.228
756	116	0.23
924	200	0.632
1054	423	0.221
157	861	0.343
209	2	0.227
358	1150	0.957
934	672	0.16
54	1107	0.399
191	610	0.918
503		0.441
553	721	0.309
561	678	0.658
626	452	0.325
1120	324	0.15
44	809	0.238
59	26	0.313
245	1029	0.248
315	140	0.599
543	652	0.206
729	602	0.999
956	995	0.163
167	402	0.41
175	1058	0.248
278	580	0.162
286	6	0.206
582	1107	0.271
957	1104	0.171
1153	259	0.526
269	1140	0.338
282	159	0.206
282	454	0.275
343		0.212
374	750	0.867
833	192	0.57
1027	133	0.183
210	917	0.346
7	923	0.331
201	60	0.417
290	752	0.678
457	496	0.211
558	153	0.942
570	320	0.458
570	862	0.6
711	136	0.365
711	85	0.28
711	608	0.19
759	756	0.162
759	683	0.284
780	355	0.156
986	878	0.908
1151	384	0.346
1151	1037	0.194
126	653	0.16
130	706	0.438
271	209	0.209
284	695	0.244
284	536	0.825
289		0.227
696	686	0.153
770	1107	0.163
835	437	0.25
1036	987	0.501
1036	869	0.321
1053	58	0.151
1095	75	0.18
1	132	0.155
208	125	0.316
398	769	0.29
398	451	0.359
857	185	0.175
283	485	0.232
283	462	0.338
375	516	0.246
411	290	0.222
723	413	0.213
776	334	0.206
776	670	0.542
246	555	0.58
477	30	0.271
477	600	0.31
477	397	0.414
545	900	0.228
686	461	0.15
862	553	0.732
933	15	0.194
127	119	0.331
219	5	0.232
323	27	0.292
426	1038	0.361
690	882	0.155
223	767	0.206
233	942	0.223
344	695	0.318
432	689	0.298
