#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADAT	APEX1	9606.ENSP00000423190	9606.ENSP00000216714	0.178	0	0	0	0	0	0	0.046	0.182
AADAT	PNPO	9606.ENSP00000423190	9606.ENSP00000225573	0.044	0	0	0	0	0	0	0.197	0.199
AADAT	AARS2	9606.ENSP00000423190	9606.ENSP00000244571	0.163	0	0	0	0.062	0	0	0.218	0.333
AADAT	GOT2	9606.ENSP00000423190	9606.ENSP00000245206	0.094	0	0	0	0.097	0	0	0.696	0.729
AADAT	C12orf65	9606.ENSP00000423190	9606.ENSP00000253233	0	0	0	0	0.062	0	0	0.147	0.165
AADAT	ABCB7	9606.ENSP00000423190	9606.ENSP00000253577	0	0	0	0	0.093	0	0	0.163	0.209
AADAT	CMPK2	9606.ENSP00000423190	9606.ENSP00000256722	0.075	0	0	0	0	0	0	0.122	0.153
AADAT	CCBL2	9606.ENSP00000423190	9606.ENSP00000260508	0.044	0	0	0.559	0.081	0.141	0.800	0.963	0.901
AADAT	AMT	9606.ENSP00000423190	9606.ENSP00000273588	0.069	0	0	0	0.062	0	0	0.262	0.299
AADAT	OXSM	9606.ENSP00000423190	9606.ENSP00000280701	0.227	0	0	0	0.064	0	0	0.100	0.292
AADAT	ACAA2	9606.ENSP00000423190	9606.ENSP00000285093	0	0	0	0	0.062	0	0	0.236	0.252
AADAT	AGXT	9606.ENSP00000423190	9606.ENSP00000302620	0.163	0	0	0	0.109	0	0	0.268	0.406
AADAT	COQ10A	9606.ENSP00000423190	9606.ENSP00000312587	0	0	0	0	0	0	0	0.221	0.221
AADAT	GLS	9606.ENSP00000423190	9606.ENSP00000317379	0	0	0	0	0.062	0	0	0.327	0.341
AADAT	GLUD2	9606.ENSP00000423190	9606.ENSP00000327589	0.043	0	0	0	0	0	0	0.205	0.206
AADAT	PROSC	9606.ENSP00000423190	9606.ENSP00000333551	0.277	0	0	0	0	0	0	0.062	0.292
AADAT	SHMT2	9606.ENSP00000423190	9606.ENSP00000333667	0.194	0	0	0	0.063	0	0	0.189	0.334
AADAT	ABCA9	9606.ENSP00000423190	9606.ENSP00000342216	0	0	0	0	0.062	0	0	0.164	0.182
AADAT	MT-CO3	9606.ENSP00000423190	9606.ENSP00000354982	0	0	0	0	0	0	0	0.174	0.173
AADAT	KMO	9606.ENSP00000423190	9606.ENSP00000355517	0	0	0	0	0.064	0	0.900	0.898	0.989
AADAT	ABCB10	9606.ENSP00000423190	9606.ENSP00000355637	0	0	0	0	0.062	0	0	0.148	0.167
AADAT	ALDH18A1	9606.ENSP00000423190	9606.ENSP00000360268	0	0	0	0	0.071	0	0	0.189	0.214
AADAT	MAOB	9606.ENSP00000423190	9606.ENSP00000367309	0	0	0	0	0.064	0	0	0.190	0.210
AADAT	GLDC	9606.ENSP00000423190	9606.ENSP00000370737	0	0	0	0	0.065	0	0	0.267	0.285
AADAT	SLC25A52	9606.ENSP00000423190	9606.ENSP00000372612	0	0	0	0	0	0	0	0.325	0.325
AADAT	SUOX	9606.ENSP00000423190	9606.ENSP00000377668	0.043	0	0	0	0	0	0	0.286	0.287
AADAT	ABAT	9606.ENSP00000423190	9606.ENSP00000379845	0.166	0	0	0	0.065	0	0	0.318	0.422
AADAT	ALDH7A1	9606.ENSP00000423190	9606.ENSP00000387123	0	0	0	0	0.090	0	0.900	0.196	0.920
AADAT	FDXR	9606.ENSP00000423190	9606.ENSP00000416515	0.070	0	0	0	0	0	0	0.238	0.261
AADAT	SLC25A37	9606.ENSP00000423190	9606.ENSP00000429200	0	0	0	0	0	0	0	0.343	0.343
AADAT	VPS13D	9606.ENSP00000423190	9606.ENSP00000478104	0	0	0	0	0	0	0	0.473	0.473
AARS2	ACO2	9606.ENSP00000244571	9606.ENSP00000216254	0.052	0	0	0	0.085	0.213	0	0.077	0.285
AARS2	VDAC1	9606.ENSP00000244571	9606.ENSP00000265333	0	0	0	0	0.088	0	0	0.107	0.152
AARS2	FDPS	9606.ENSP00000244571	9606.ENSP00000349078	0.047	0	0	0	0.083	0	0	0.110	0.154
AARS2	MT-CO3	9606.ENSP00000244571	9606.ENSP00000354982	0	0	0	0	0.059	0	0	0.142	0.158
AARS2	TOMM20	9606.ENSP00000244571	9606.ENSP00000355566	0	0	0	0	0.056	0	0	0.147	0.161
AARS2	ACAD8	9606.ENSP00000244571	9606.ENSP00000281182	0	0	0	0	0	0	0	0.161	0.161
AARS2	AHCYL1	9606.ENSP00000244571	9606.ENSP00000358814	0.111	0	0	0	0.097	0	0	0	0.162
AARS2	ETHE1	9606.ENSP00000244571	9606.ENSP00000292147	0.070	0	0	0	0	0	0	0.140	0.166
AARS2	GOT2	9606.ENSP00000244571	9606.ENSP00000245206	0	0	0	0	0.073	0	0	0.137	0.167
AARS2	MTCH1	9606.ENSP00000244571	9606.ENSP00000362730	0	0	0	0	0.048	0	0	0.161	0.167
AARS2	SUCLG2	9606.ENSP00000244571	9606.ENSP00000419325	0.059	0	0	0	0.127	0	0	0.068	0.168
AARS2	TXNRD2	9606.ENSP00000244571	9606.ENSP00000383365	0.052	0	0	0	0.064	0	0	0.140	0.170
AARS2	MT-ATP6	9606.ENSP00000244571	9606.ENSP00000354632	0	0	0	0	0.072	0	0	0.143	0.171
AARS2	TRUB2	9606.ENSP00000244571	9606.ENSP00000361982	0.058	0	0	0	0.107	0	0	0.096	0.173
AARS2	DNA2	9606.ENSP00000244571	9606.ENSP00000351185	0	0	0	0	0.065	0	0	0.157	0.178
AARS2	SLC25A32	9606.ENSP00000244571	9606.ENSP00000297578	0	0	0	0	0.052	0	0	0.173	0.182
AARS2	OXSM	9606.ENSP00000244571	9606.ENSP00000280701	0.077	0	0	0	0.145	0.059	0	0.042	0.193
AARS2	MT-CO2	9606.ENSP00000244571	9606.ENSP00000354876	0	0	0	0	0	0	0	0.194	0.194
AARS2	ABCB10	9606.ENSP00000244571	9606.ENSP00000355637	0	0	0	0	0.066	0	0	0.174	0.197
AARS2	PDF	9606.ENSP00000244571	9606.ENSP00000288022	0.167	0	0	0	0.078	0	0	0	0.199
AARS2	NDUFA4	9606.ENSP00000244571	9606.ENSP00000339720	0	0	0	0	0	0	0	0.201	0.201
AARS2	ABCA9	9606.ENSP00000244571	9606.ENSP00000342216	0	0	0	0	0.064	0	0	0.182	0.202
AARS2	ABCB7	9606.ENSP00000244571	9606.ENSP00000253577	0	0	0	0	0	0	0	0.207	0.207
AARS2	ATP5A1	9606.ENSP00000244571	9606.ENSP00000381736	0.049	0	0	0	0.113	0	0	0.136	0.207
AARS2	FLAD1	9606.ENSP00000244571	9606.ENSP00000292180	0	0	0	0	0.086	0	0	0.181	0.219
AARS2	MT-CYB	9606.ENSP00000244571	9606.ENSP00000354554	0	0	0	0	0	0	0	0.228	0.228
AARS2	TMEM70	9606.ENSP00000244571	9606.ENSP00000312599	0	0	0	0	0.046	0	0	0.228	0.232
AARS2	MGME1	9606.ENSP00000244571	9606.ENSP00000366939	0	0	0	0	0.062	0	0	0.225	0.242
AARS2	MDH2	9606.ENSP00000244571	9606.ENSP00000327070	0.047	0	0	0	0.095	0.103	0	0.148	0.252
AARS2	YBEY	9606.ENSP00000244571	9606.ENSP00000329614	0.137	0	0	0	0	0	0	0.188	0.269
AARS2	BCS1L	9606.ENSP00000244571	9606.ENSP00000413908	0.078	0	0	0	0.084	0	0	0.209	0.274
AARS2	SHMT2	9606.ENSP00000244571	9606.ENSP00000333667	0.052	0	0	0	0.066	0	0	0.245	0.274
