Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSG00000210049	MT-TF	MT	577	647
ENSG00000211459	MT-RNR1	MT	648	1601
ENSG00000210077	MT-TV	MT	1602	1670
ENSG00000210082	MT-RNR2	MT	1671	3229
ENSG00000209082	MT-TL1	MT	3230	3304
ENSG00000198888	MT-ND1	MT	3307	4262
ENSG00000210100	MT-TI	MT	4263	4331
ENSG00000210107	MT-TQ	MT	4329	4400
ENSG00000210112	MT-TM	MT	4402	4469
ENSG00000198763	MT-ND2	MT	4470	5511
ENSG00000210117	MT-TW	MT	5512	5579
ENSG00000210127	MT-TA	MT	5587	5655
ENSG00000210135	MT-TN	MT	5657	5729
ENSG00000210140	MT-TC	MT	5761	5826
ENSG00000210144	MT-TY	MT	5826	5891
ENSG00000198804	MT-CO1	MT	5904	7445
ENSG00000210151	MT-TS1	MT	7446	7514
ENSG00000210154	MT-TD	MT	7518	7585
ENSG00000198712	MT-CO2	MT	7586	8269
ENSG00000210156	MT-TK	MT	8295	8364
ENSG00000228253	MT-ATP8	MT	8366	8572
ENSG00000198899	MT-ATP6	MT	8527	9207
ENSG00000198938	MT-CO3	MT	9207	9990
ENSG00000210164	MT-TG	MT	9991	10058
ENSG00000198840	MT-ND3	MT	10059	10404
ENSG00000210174	MT-TR	MT	10405	10469
ENSG00000212907	MT-ND4L	MT	10470	10766
ENSG00000198886	MT-ND4	MT	10760	12137
ENSG00000210176	MT-TH	MT	12138	12206
ENSG00000210184	MT-TS2	MT	12207	12265
ENSG00000210191	MT-TL2	MT	12266	12336
ENSG00000198786	MT-ND5	MT	12337	14148
ENSG00000198695	MT-ND6	MT	14149	14673
ENSG00000210194	MT-TE	MT	14674	14742
ENSG00000198727	MT-CYB	MT	14747	15887
ENSG00000210195	MT-TT	MT	15888	15953
ENSG00000210196	MT-TP	MT	15956	16023
