Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSG00000279170	TSTD3	6	99520976	99589899
ENSG00000215845	TSTD1	1	161037631	161038977
ENSG00000229833	PET100	19	7629788	7631956
ENSG00000137875	BCL2L10	15	52109263	52112775
ENSG00000153094	BCL2L11	2	111119378	111168445
ENSG00000214736	TOMM6	6	41787662	41789898
ENSG00000182712	CMC4	X	155061622	155071136
ENSG00000265354	TIMM23	10	45972489	46003742
ENSG00000232838	PET117	20	18137863	18143169
ENSG00000248919	ATP5MF-PTCD1	7	99419749	99466197
ENSG00000115657	ABCB6	2	219209772	219218994
ENSG00000087470	DNM1L	12	32679200	32745650
ENSG00000138495	COX17	3	119654513	119677454
ENSG00000145337	PYURF	4	88520998	88523776
ENSG00000123297	TSFM	12	57782761	57808071
ENSG00000108179	PPIF	10	79347469	79355334
ENSG00000138095	LRPPRC	2	43886224	43996226
ENSG00000126602	TRAP1	16	3651639	3717553
ENSG00000008311	AASS	7	122064583	122144308
ENSG00000004864	SLC25A13	7	96120220	96322147
ENSG00000102743	SLC25A15	13	40789412	40812460
ENSG00000225973	PIGBOS1	15	55317184	55319161
ENSG00000172113	NME6	3	48290722	48301685
ENSG00000100867	DHRS2	14	23630115	23645639
ENSG00000167186	COQ7	16	19067614	19080095
ENSG00000102738	MRPS31	13	40729128	40771190
ENSG00000126768	TIMM17B	X	48893447	48898143
ENSG00000132541	RIDA	8	98102344	98117171
ENSG00000149124	GLYAT	11	58640426	58731974
ENSG00000103507	BCKDK	16	31106107	31112791
ENSG00000154258	ABCA9	17	68974488	69060949
ENSG00000116874	WARS2	1	119031216	119140654
ENSG00000107745	MICU1	10	72367340	72626131
ENSG00000120992	LYPLA1	8	54046367	54102017
ENSG00000134375	TIMM17A	1	201955503	201970664
ENSG00000167315	ACAA2	18	49782164	49813953
ENSG00000130204	TOMM40	19	44890569	44903689
ENSG00000198721	ECI2	6	4115693	4135597
ENSG00000014824	SLC30A9	4	41990502	42090461
ENSG00000104980	TIMM44	19	7926718	7943667
ENSG00000167863	ATP5PD	17	75038863	75046985
ENSG00000107959	PITRM1	10	3137728	3172841
ENSG00000123131	PRDX4	X	23664262	23686397
ENSG00000109854	HTATIP2	11	20363685	20383782
ENSG00000086504	MRPL28	16	366969	371289
ENSG00000184470	TXNRD2	22	19875517	19941820
ENSG00000136371	MTHFS	15	79833585	79897379
ENSG00000128050	PAICS	4	56435741	56464578
ENSG00000167283	ATP5MG	11	118401346	118433278
ENSG00000141391	PRELID3A	18	12407896	12432238
ENSG00000128654	MTX2	2	176269395	176338025
ENSG00000145982	FARS2	6	5261044	5829192
ENSG00000051341	POLQ	3	121431431	121545988
ENSG00000136758	YME1L1	10	27110111	27155266
ENSG00000168710	AHCYL1	1	109984765	110023742
ENSG00000065911	MTHFD2	2	74186172	74217565
ENSG00000144908	ALDH1L1	3	126103562	126197994
ENSG00000166855	CLPX	15	65148219	65185342
ENSG00000151376	ME3	11	86441108	86672636
ENSG00000112996	MRPS30	5	44808947	44820428
ENSG00000284807	DHRS4	CHR_HG1_PATCH	23953734	24011760
ENSG00000157326	DHRS4	14	23953734	23969279
ENSG00000164896	FASTK	7	151076624	151080866
ENSG00000165672	PRDX3	10	119167720	119178812
ENSG00000141385	AFG3L2	18	12328944	12377227
ENSG00000025772	TOMM34	20	44942130	44960397
ENSG00000119673	ACOT2	14	73567620	73575658
ENSG00000255154	HTD2	3	58306262	58320193
ENSG00000127540	UQCR11	19	1597169	1605473
ENSG00000132305	IMMT	2	86143932	86195472
ENSG00000121897	LIAS	4	39459004	39485109
ENSG00000182134	TDRKH	1	151770107	151791416
ENSG00000106049	HIBADH	7	27525442	27662883
ENSG00000170917	NUDT6	4	122888697	122922968
ENSG00000165609	NUDT5	10	12165330	12196144
ENSG00000197150	ABCB8	7	151028422	151047782
ENSG00000147471	PLPBP	8	37762595	37779768
ENSG00000108599	AKAP10	17	19904302	19978343
ENSG00000114686	MRPL3	3	131462212	131502983
ENSG00000256525	POLG2	17	64477785	64497054
ENSG00000169239	CA5B	X	15688830	15788411
ENSG00000101417	PXMP4	20	33702758	33720319
