#queryIndex	queryItem	stringId	preferredName	annotation
1	﻿ABCD3	9606.ENSP00000359233	ABCD3	ATP-binding cassette sub-family D member 3; Probable transporter involved in the transport of branched-chain fatty acids and C27 bile acids into the peroxisome; the latter function is a crucial step in bile acid biosynthesis. The nucleotide-binding fold acts as an ATP- binding subunit with ATPase activity
2	SFXN1	9606.ENSP00000316905	SFXN1	Sideroflexin-1/3; Sideroflexin-1; Might be involved in the transport of a component required for iron utilization into or out of the mitochondria; Sideroflexins
3	ACSM4	9606.ENSP00000382349	ACSM4	Acyl-coenzyme A synthetase ACSM4, mitochondrial; Has medium-chain fatty acid:CoA ligase activity with broad substrate specificity (in vitro). Acts on acids from C(4) to C(11) and on the corresponding 3-hydroxy- and 2,3- or 3,4- unsaturated acids (in vitro) (By similarity); Belongs to the ATP-dependent AMP-binding enzyme family
4	BCO2	9606.ENSP00000350314	BCO2	Beta,beta-carotene 9',10'-oxygenase; Asymmetrically cleaves beta-carotene at the 9',10' double bond resulting in the formation of beta-apo-10'-carotenal and beta-ionone. Besides beta-carotene, lycopene is also oxidatively cleaved. The apocarotenals formed by this enzyme may be the precursors for the biosynthesis of retinoic acid or exert unknown physiological effects; Belongs to the carotenoid oxygenase family
5	CMPK2	9606.ENSP00000256722	CMPK2	UMP-CMP kinase 2, mitochondrial; May participate in dUTP and dCTP synthesis in mitochondria. Is able to phosphorylate dUMP, dCMP, CMP, UMP and monophosphates of the pyrimidine nucleoside analogs ddC, dFdC, araC, BVDU and FdUrd with ATP as phosphate donor. Efficacy is highest for dUMP followed by dCMP; CMP and UMP are poor substrates. May be involved in mtDNA depletion caused by long term treatment with ddC or other pyrimidine analogs. Also displays broad nucleoside diphosphate kinase activity
6	COX7B2	9606.ENSP00000379784	COX7B2	Cytochrome c oxidase subunit 7B2, mitochondrial; This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport
7	COX8C	9606.ENSP00000340568	COX8C	Cytochrome c oxidase subunit 8C, mitochondrial; This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport
8	CPT1C	9606.ENSP00000376303	CPT1C	Carnitine O-palmitoyltransferase 1, brain isoform; May play a role in lipid metabolic process; Belongs to the carnitine/choline acetyltransferase family
9	CYP11B2	9606.ENSP00000325822	CYP11B2	Steroid 11beta-monooxygenase / corticosterone 18-monooxygenase; Cytochrome P450 11B2, mitochondrial; Preferentially catalyzes the conversion of 11- deoxycorticosterone to aldosterone via corticosterone and 18- hydroxycorticosterone; Belongs to the cytochrome P450 family
10	FDXR	9606.ENSP00000416515	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial; Serves as the first electron transfer protein in all the mitochondrial P450 systems. Including cholesterol side chain cleavage in all steroidogenic tissues, steroid 11-beta hydroxylation in the adrenal cortex, 25-OH-vitamin D3-24 hydroxylation in the kidney, and sterol C-27 hydroxylation in the liver; Belongs to the ferredoxin--NADP reductase type 1 family
